"ID","used_out","used_in","month","year"
"PR17F0017",0,323,2,2018
"PR17F0011",0,324,2,2018
"PR17F0034",143,179,2,2018
"PR17F0033",3,312,2,2018
"PR17F0003",0,324,2,2018
"PR17F0002",0,316,2,2018
"PR17F0001",0,323,2,2018
"PR17M0004",0,322,2,2018
"PR17F0012",4,316,2,2018
"PR17F0005",0,324,2,2018
"PR17F0010",0,307,2,2018
"PR17F0004",52,271,2,2018
"PR17M0012",0,324,2,2018
"PR17M0009",0,265,2,2018
"PR17F0015",0,319,2,2018
"PR17M0034",0,322,2,2018
"PR17M0014",156,144,2,2018
"PR17F0009",0,322,2,2018
"PR17F0007",0,318,2,2018
"PR17F0006",0,321,2,2018
"PR17F0014",0,324,2,2018
"PR17M0015",0,288,2,2018
"PR17F0013",41,281,2,2018
"PR17M0013",29,282,2,2018
"PR17M0033",0,323,2,2018
"PR17F0036",2,317,2,2018
"PR17M0008",0,312,2,2018
"PR17M0010",3,319,2,2018
"PR17M0001",0,324,2,2018
"PR17F0024",0,324,2,2018
"PR17M0003",62,251,2,2018
"PR17F0037",8,315,2,2018
"PR17F0022",8,316,2,2018
"PR17U0004",82,241,2,2018
"PR17F0020",29,294,2,2018
"PR17F0019",0,321,2,2018
"PR17F0027",137,175,2,2018
"PR17M0011",0,324,2,2018
"PR17F0018",33,277,2,2018
"PR17U0001",67,256,2,2018
"PR17F0008",59,265,2,2018
"PR17F0026",64,248,2,2018
"PR17F0023",107,186,2,2018
"PR17M0017",0,323,2,2018
"PR17U0007",124,198,2,2018
"PR17M0021",52,272,2,2018
"PR17M0028",54,270,2,2018
"PR17F0031",121,201,2,2018
"PR17M0024",0,323,2,2018
"PR17F0035",0,323,2,2018
"PR17M0018",1,301,2,2018
"PR17M0030",71,252,2,2018
"PR17M0027",12,311,2,2018
"PR17M0025",103,220,2,2018
"PR17M0019",0,324,2,2018
"PR17M0026",0,309,2,2018
"PR17M0029",37,287,2,2018
"PR17M0032",118,204,2,2018
"PR17F0032",0,316,2,2018
"PR17M0023",0,322,2,2018
"PR17M0022",0,310,2,2018
"PR17M0016",123,188,2,2018
"PR17M0031",1,323,2,2018
"PR17M0005",0,325,2,2018
"PR17M0006",113,195,2,2018
"PR17M0007",1,322,2,2018
"PR17M0002",0,324,2,2018
"PR17F0003",196,136,4,2018
"PR17F0007",41,292,4,2018
"PR17M0024",20,318,4,2018
"PR17F0002",59,276,4,2018
"PR17F0001",63,272,4,2018
"PR17M0004",1,335,4,2018
"PR17F0012",11,326,4,2018
"PR17F0005",76,253,4,2018
"PR17F0010",16,318,4,2018
"PR17F0004",77,237,4,2018
"PR17M0012",5,343,4,2018
"PR17M0009",0,340,4,2018
"PR17F0015",0,324,4,2018
"PR17M0034",0,344,4,2018
"PR17M0014",0,334,4,2018
"PR17F0009",50,286,4,2018
"PR17F0011",35,312,4,2018
"PR17F0006",35,300,4,2018
"PR17F0014",42,293,4,2018
"PR17M0015",11,337,4,2018
"PR17F0013",164,157,4,2018
"PR17M0013",34,289,4,2018
"PR17M0033",2,332,4,2018
"PR17F0036",36,298,4,2018
"PR17M0008",0,324,4,2018
"PR17M0010",0,312,4,2018
"PR17M0001",16,331,4,2018
"PR17F0024",0,336,4,2018
"PR17M0003",149,185,4,2018
"PR17F0037",0,334,4,2018
"PR17F0022",13,322,4,2018
"PR17U0004",133,204,4,2018
"PR17F0020",161,171,4,2018
"PR17F0019",10,319,4,2018
"PR17F0027",76,250,4,2018
"PR17M0011",0,331,4,2018
"PR17F0018",106,230,4,2018
"PR17U0001",75,258,4,2018
"PR17F0008",79,252,4,2018
"PR17F0017",30,304,4,2018
"PR17F0026",82,250,4,2018
"PR17F0023",200,133,4,2018
"PR17M0017",3,342,4,2018
"PR17U0007",145,191,4,2018
"PR17M0021",6,327,4,2018
"PR17F0034",2,333,4,2018
"PR17M0028",80,254,4,2018
"PR17F0031",33,274,4,2018
"PR17F0035",21,314,4,2018
"PR17M0018",1,335,4,2018
"PR17M0030",92,231,4,2018
"PR17M0027",0,321,4,2018
"PR17M0025",0,347,4,2018
"PR17M0019",0,333,4,2018
"PR17F0033",133,201,4,2018
"PR17M0026",2,344,4,2018
"PR17M0029",65,270,4,2018
"PR17M0032",106,215,4,2018
"PR17F0032",35,298,4,2018
"PR17M0023",2,328,4,2018
"PR17M0022",54,282,4,2018
"PR17M0016",37,298,4,2018
"PR17M0031",38,295,4,2018
"PR17M0005",28,320,4,2018
"PR17M0006",19,317,4,2018
"PR17M0007",3,335,4,2018
"PR17M0002",0,348,4,2018
"PR17F0003",0,359,7,2018
"PR17F0002",0,358,7,2018
"PR17F0001",144,213,7,2018
"PR17M0004",104,254,7,2018
"PR17F0012",32,326,7,2018
"PR17F0005",0,360,7,2018
"PR17F0010",6,353,7,2018
"PR17F0004",2,344,7,2018
"PR17M0012",10,350,7,2018
"PR17M0009",0,359,7,2018
"PR17F0015",0,360,7,2018
"PR17M0034",0,356,7,2018
"PR17M0014",0,353,7,2018
"PR17F0009",2,349,7,2018
"PR17F0011",0,359,7,2018
"PR17F0006",5,354,7,2018
"PR17F0014",0,354,7,2018
"PR17M0015",11,349,7,2018
"PR17F0013",0,356,7,2018
"PR17M0013",252,101,7,2018
"PR17M0033",0,358,7,2018
"PR17F0036",94,266,7,2018
"PR17M0008",0,346,7,2018
"PR17M0010",0,347,7,2018
"PR17M0001",0,354,7,2018
"PR17F0024",0,357,7,2018
"PR17M0003",3,357,7,2018
"PR17F0037",0,357,7,2018
"PR17U0004",4,355,7,2018
"PR17F0020",0,358,7,2018
"PR17F0019",0,359,7,2018
"PR17F0027",0,358,7,2018
"PR17M0011",0,356,7,2018
"PR17F0018",175,176,7,2018
"PR17U0001",0,345,7,2018
"PR17F0008",0,358,7,2018
"PR17F0017",48,309,7,2018
"PR17F0026",0,349,7,2018
"PR17F0023",116,241,7,2018
"PR17M0017",0,357,7,2018
"PR17U0007",0,357,7,2018
"PR17M0021",0,360,7,2018
"PR17F0034",44,315,7,2018
"PR17M0028",0,360,7,2018
"PR17F0031",0,341,7,2018
"PR17M0024",0,339,7,2018
"PR17F0035",32,325,7,2018
"PR17M0018",0,358,7,2018
"PR17M0030",0,360,7,2018
"PR17M0027",0,358,7,2018
"PR17M0025",0,359,7,2018
"PR17M0019",0,360,7,2018
"PR17F0033",17,335,7,2018
"PR17M0026",0,360,7,2018
"PR17M0029",0,359,7,2018
"PR17M0032",2,357,7,2018
"PR17F0032",112,246,7,2018
"PR17M0023",64,296,7,2018
"PR17M0022",34,320,7,2018
"PR17M0016",0,358,7,2018
"PR17M0031",77,274,7,2018
"PR17M0005",3,353,7,2018
"PR17M0006",0,361,7,2018
"PR17M0007",0,361,7,2018
"PR17M0002",1,350,7,2018
"PR17F0019",126,215,11,2018
"PR17F0015",3,339,11,2018
"PR17F0037",116,203,11,2018
"PR17F0003",258,87,11,2018
"PR17F0002",198,148,11,2018
"PR17F0012",33,314,11,2018
"PR17F0005",15,331,11,2018
"PR17F0010",6,328,11,2018
"PR17F0004",159,176,11,2018
"PR17M0012",0,349,11,2018
"PR17M0009",0,292,11,2018
"PR17M0034",0,347,11,2018
"PR17M0014",162,187,11,2018
"PR17F0009",24,324,11,2018
"PR17F0011",0,347,11,2018
"PR17F0006",0,347,11,2018
"PR17F0014",0,347,11,2018
"PR17M0015",0,329,11,2018
"PR17F0013",104,241,11,2018
"PR17M0013",0,336,11,2018
"PR17F0036",2,342,11,2018
"PR17M0008",0,343,11,2018
"PR17M0001",2,346,11,2018
"PR17F0024",98,250,11,2018
"PR17M0003",154,189,11,2018
"PR17U0004",100,249,11,2018
"PR17F0020",57,289,11,2018
"PR17F0027",100,246,11,2018
"PR17M0011",99,247,11,2018
"PR17F0018",145,201,11,2018
"PR17U0001",145,203,11,2018
"PR17F0008",122,227,11,2018
"PR17F0017",186,148,11,2018
"PR17F0026",109,224,11,2018
"PR17F0023",205,143,11,2018
"PR17M0017",86,262,11,2018
"PR17U0007",34,311,11,2018
"PR17F0034",22,313,11,2018
"PR17M0028",32,316,11,2018
"PR17M0024",80,258,11,2018
"PR17F0035",0,334,11,2018
"PR17M0018",133,193,11,2018
"PR17M0030",56,292,11,2018
"PR17M0025",109,231,11,2018
"PR17F0033",40,295,11,2018
"PR17M0026",0,342,11,2018
"PR17M0029",120,219,11,2018
"PR17M0032",58,281,11,2018
"PR17F0032",181,167,11,2018
"PR17M0023",33,315,11,2018
"PR17M0022",42,294,11,2018
"PR17M0005",0,340,11,2018
"PR17M0006",46,303,11,2018
"PR17M0007",147,188,11,2018
"PR17M0002",84,253,11,2018
"PR19M0002",0,20,2,2019
"PR19F0003",3,17,2,2019
"PR19F0005",0,20,2,2019
"PR19F0006",0,20,2,2019
"PR19F0007",0,20,2,2019
"PR19F0002",20,1,2,2019
"PR19F0001",21,1,2,2019
"PR19F0033",21,1,2,2019
"PR19F0004",0,22,2,2019
"PR19M0003",18,5,2,2019
"PR19M0001",0,23,2,2019
"PR17F0019",50,258,2,2019
"PR18F0031",0,310,2,2019
"PR17F0003",0,310,2,2019
"PR17F0002",0,310,2,2019
"PR17F0012",0,324,2,2019
"PR17F0005",2,297,2,2019
"PR17F0010",0,303,2,2019
"PR17F0004",2,321,2,2019
"PR17M0012",0,305,2,2019
"PR17M0009",1,241,2,2019
"PR17F0015",0,308,2,2019
"PR17M0034",0,323,2,2019
"PR17M0014",0,310,2,2019
"PR17F0009",0,312,2,2019
"PR17F0011",0,311,2,2019
"PR17F0006",0,324,2,2019
"PR17F0014",0,323,2,2019
"PR17M0015",0,246,2,2019
"PR17F0013",24,286,2,2019
"PR17M0013",0,311,2,2019
"PR17F0036",0,321,2,2019
"PR17M0008",0,322,2,2019
"PR17M0001",0,311,2,2019
"PR17F0024",0,321,2,2019
"PR17M0003",18,294,2,2019
"PR17F0037",0,299,2,2019
"PR17U0004",0,324,2,2019
"PR17F0020",2,322,2,2019
"PR17F0027",84,227,2,2019
"PR17M0011",0,324,2,2019
"PR17F0018",0,307,2,2019
"PR17U0001",18,305,2,2019
"PR17F0008",23,300,2,2019
"PR17F0017",4,320,2,2019
"PR17F0026",23,288,2,2019
"PR17F0023",9,267,2,2019
"PR17M0017",8,314,2,2019
"PR17U0007",12,312,2,2019
"PR17F0034",0,322,2,2019
"PR17M0028",15,309,2,2019
"PR17M0024",7,304,2,2019
"PR17F0035",22,283,2,2019
"PR17M0018",53,194,2,2019
"PR17M0030",24,286,2,2019
"PR17M0025",14,295,2,2019
"PR17F0033",0,310,2,2019
"PR17M0026",1,304,2,2019
"PR17M0029",1,312,2,2019
"PR17M0032",4,310,2,2019
"PR17F0032",0,322,2,2019
"PR17M0023",0,323,2,2019
"PR17M0022",0,322,2,2019
"PR18M0008",0,322,2,2019
"PR18F0018",0,323,2,2019
"PR18F0013",0,322,2,2019
"PR18F0015",0,323,2,2019
"PR18F0010",2,296,2,2019
"PR18F0003",0,312,2,2019
"PR18F0011",25,286,2,2019
"PR18F0016",0,322,2,2019
"PR18M0006",176,135,2,2019
"PR18F0005",0,320,2,2019
"PR18F0017",6,318,2,2019
"PR18U0002",0,312,2,2019
"PR18M0001",0,323,2,2019
"PR18F0014",0,324,2,2019
"PR18U0001",0,322,2,2019
"PR18F0012",0,323,2,2019
"PR18M0007",11,300,2,2019
"PR18M0005",24,285,2,2019
"PR18F0007",1,323,2,2019
"PR18U0003",18,305,2,2019
"PR18F0006",0,324,2,2019
"PR18M0003",0,312,2,2019
"PR18F0002",0,324,2,2019
"PR18F0009",0,312,2,2019
"PR18F0020",0,312,2,2019
"PR18F0028",0,324,2,2019
"PR18F0023",0,323,2,2019
"PR18F0026",0,280,2,2019
"PR18M0013",55,268,2,2019
"PR18M0012",19,305,2,2019
"PR18F0021",27,244,2,2019
"PR18F0030",32,278,2,2019
"PR18F0027",35,276,2,2019
"PR18M0014",94,217,2,2019
"PR18M0010",31,280,2,2019
"PR18F0022",14,310,2,2019
"PR18M0011",10,314,2,2019
"PR18F0029",0,323,2,2019
"PR18M0015",8,312,2,2019
"PR18F0019",0,323,2,2019
"PR18F0024",51,258,2,2019
"PR18F0025",82,230,2,2019
"PR18F0032",6,306,2,2019
"PR18F0034",0,324,2,2019
"PR18F0033",0,324,2,2019
"PR17M0005",0,324,2,2019
"PR17M0006",57,206,2,2019
"PR17M0007",0,324,2,2019
"PR17M0002",0,324,2,2019
"PR18F0008",0,126,2,2019
"PR18M0002",0,44,4,2019
"PR17M0025",86,241,4,2019
"PR17F0036",1,354,4,2019
"PR17M0001",0,353,4,2019
"PR17F0003",82,271,4,2019
"PR17F0002",1,352,4,2019
"PR17F0012",25,341,4,2019
"PR17F0005",0,354,4,2019
"PR17F0010",20,345,4,2019
"PR17F0004",69,292,4,2019
"PR17M0012",0,357,4,2019
"PR17M0009",0,366,4,2019
"PR17F0015",67,299,4,2019
"PR17M0034",0,354,4,2019
"PR17M0014",157,211,4,2019
"PR17F0009",0,367,4,2019
"PR17F0011",9,344,4,2019
"PR17F0006",0,358,4,2019
"PR17F0014",0,367,4,2019
"PR17M0015",0,366,4,2019
"PR17F0013",168,175,4,2019
"PR17M0013",0,366,4,2019
"PR17M0008",0,360,4,2019
"PR17F0024",116,251,4,2019
"PR17M0003",13,340,4,2019
"PR17F0037",70,279,4,2019
"PR17U0004",156,189,4,2019
"PR17F0020",134,196,4,2019
"PR17F0019",80,276,4,2019
"PR17F0027",50,288,4,2019
"PR17M0011",0,354,4,2019
"PR17F0018",55,313,4,2019
"PR17U0001",119,246,4,2019
"PR17F0008",6,342,4,2019
"PR17F0017",0,367,4,2019
"PR17F0026",225,141,4,2019
"PR17F0023",158,184,4,2019
"PR17M0017",150,205,4,2019
"PR17U0007",54,300,4,2019
"PR17F0034",63,295,4,2019
"PR17M0028",11,353,4,2019
"PR17M0024",80,282,4,2019
"PR17F0035",46,302,4,2019
"PR17M0018",28,338,4,2019
"PR17M0030",237,129,4,2019
"PR17F0033",0,355,4,2019
"PR17M0026",0,368,4,2019
"PR17M0029",136,218,4,2019
"PR17M0032",120,247,4,2019
"PR17F0032",7,344,4,2019
"PR17M0023",0,366,4,2019
"PR17M0022",79,289,4,2019
"PR18M0008",0,354,4,2019
"PR18F0018",0,364,4,2019
"PR18F0013",0,351,4,2019
"PR18F0015",42,311,4,2019
"PR18F0010",115,240,4,2019
"PR18F0003",1,363,4,2019
"PR18F0011",0,222,4,2019
"PR18M0006",0,368,4,2019
"PR18F0005",38,328,4,2019
"PR18F0017",0,354,4,2019
"PR18U0002",38,313,4,2019
"PR18M0001",0,364,4,2019
"PR18F0014",118,236,4,2019
"PR18U0001",117,248,4,2019
"PR18F0012",41,314,4,2019
"PR18M0007",0,366,4,2019
"PR18M0005",0,101,4,2019
"PR18F0007",175,191,4,2019
"PR18U0003",110,237,4,2019
"PR18F0006",113,251,4,2019
"PR18M0003",0,352,4,2019
"PR18F0002",74,291,4,2019
"PR18F0009",27,339,4,2019
"PR18F0020",191,175,4,2019
"PR18F0028",155,211,4,2019
"PR18F0023",102,251,4,2019
"PR18M0013",0,353,4,2019
"PR18M0012",0,367,4,2019
"PR18F0021",10,344,4,2019
"PR18F0030",16,351,4,2019
"PR18F0027",76,290,4,2019
"PR18M0014",0,353,4,2019
"PR18M0010",6,359,4,2019
"PR18F0022",186,165,4,2019
"PR18M0011",0,363,4,2019
"PR18F0029",9,360,4,2019
"PR18M0015",3,351,4,2019
"PR18F0031",27,339,4,2019
"PR18F0019",64,302,4,2019
"PR18F0024",11,354,4,2019
"PR18F0025",51,314,4,2019
"PR18F0032",52,314,4,2019
"PR18F0034",0,367,4,2019
"PR18F0033",0,366,4,2019
"PR19M0001",0,355,4,2019
"PR19F0033",153,202,4,2019
"PR19F0002",230,123,4,2019
"PR19F0007",243,112,4,2019
"PR19F0006",0,330,4,2019
"PR19F0003",62,291,4,2019
"PR19F0005",0,356,4,2019
"PR19M0002",80,266,4,2019
"PR17M0005",10,327,4,2019
"PR17M0006",141,207,4,2019
"PR17M0007",66,283,4,2019
"PR17M0002",89,253,4,2019
"PR18M0004",0,21,7,2019
"PR19F0003",0,358,7,2019
"PR17F0003",0,359,7,2019
"PR17F0002",101,258,7,2019
"PR17F0012",6,349,7,2019
"PR17F0005",0,347,7,2019
"PR17F0010",171,186,7,2019
"PR17F0004",11,349,7,2019
"PR17M0012",0,360,7,2019
"PR17M0009",0,285,7,2019
"PR17F0015",0,349,7,2019
"PR17M0034",0,359,7,2019
"PR17M0014",0,338,7,2019
"PR17F0009",3,352,7,2019
"PR17F0011",0,351,7,2019
"PR17F0006",0,358,7,2019
"PR17F0014",62,298,7,2019
"PR17M0015",0,359,7,2019
"PR17F0013",63,281,7,2019
"PR17M0013",0,359,7,2019
"PR17M0008",0,351,7,2019
"PR17M0001",0,358,7,2019
"PR17F0024",17,341,7,2019
"PR17M0003",0,359,7,2019
"PR17F0037",0,349,7,2019
"PR17U0004",0,347,7,2019
"PR17F0020",17,341,7,2019
"PR17F0019",6,352,7,2019
"PR17F0027",154,201,7,2019
"PR17M0011",0,355,7,2019
"PR17F0018",1,359,7,2019
"PR17U0001",13,344,7,2019
"PR17F0008",79,279,7,2019
"PR17F0017",12,341,7,2019
"PR17F0026",39,315,7,2019
"PR17F0023",16,343,7,2019
"PR17M0017",0,360,7,2019
"PR17U0007",0,360,7,2019
"PR17F0034",0,358,7,2019
"PR17M0028",0,360,7,2019
"PR17M0024",0,360,7,2019
"PR17F0035",53,305,7,2019
"PR17M0018",0,359,7,2019
"PR17M0030",0,360,7,2019
"PR17M0025",0,359,7,2019
"PR17M0026",0,359,7,2019
"PR17M0029",0,349,7,2019
"PR17M0032",0,345,7,2019
"PR17F0032",48,301,7,2019
"PR17M0023",0,359,7,2019
"PR17M0022",0,359,7,2019
"PR18M0008",0,357,7,2019
"PR18F0018",0,359,7,2019
"PR18F0013",6,345,7,2019
"PR18F0010",81,252,7,2019
"PR18F0003",69,63,7,2019
"PR18M0006",0,359,7,2019
"PR18F0005",0,358,7,2019
"PR18F0017",0,358,7,2019
"PR18U0002",7,352,7,2019
"PR18M0001",0,359,7,2019
"PR18F0014",0,359,7,2019
"PR18U0001",0,349,7,2019
"PR18F0012",0,356,7,2019
"PR18M0007",0,348,7,2019
"PR18F0007",0,359,7,2019
"PR18U0003",0,136,7,2019
"PR18F0006",0,360,7,2019
"PR18M0003",0,359,7,2019
"PR18F0002",0,358,7,2019
"PR18F0020",16,344,7,2019
"PR18F0028",122,238,7,2019
"PR18F0023",127,232,7,2019
"PR18M0013",0,360,7,2019
"PR18M0012",0,360,7,2019
"PR18F0021",91,268,7,2019
"PR18F0030",14,345,7,2019
"PR18F0027",39,318,7,2019
"PR18M0014",0,237,7,2019
"PR18M0010",0,358,7,2019
"PR18F0022",146,212,7,2019
"PR18M0011",0,357,7,2019
"PR18F0029",6,351,7,2019
"PR18M0015",20,327,7,2019
"PR18F0031",0,347,7,2019
"PR18F0019",20,339,7,2019
"PR18F0024",0,353,7,2019
"PR18F0025",0,359,7,2019
"PR18F0032",0,347,7,2019
"PR18F0034",0,359,7,2019
"PR18F0033",4,297,7,2019
"PR19M0001",0,328,7,2019
"PR19F0033",2,357,7,2019
"PR19F0002",23,334,7,2019
"PR19F0007",0,358,7,2019
"PR19F0006",0,359,7,2019
"PR19F0005",0,359,7,2019
"PR19M0002",0,359,7,2019
"PR17M0005",42,319,7,2019
"PR17M0006",0,360,7,2019
"PR17M0007",0,361,7,2019
"PR17M0002",0,360,7,2019
"PR19F0012",0,21,11,2019
"PR19F0011",46,51,11,2019
"PR19F0009",9,107,11,2019
"PR19M0009",1,86,11,2019
"PR19F0027",62,54,11,2019
"PR19F0015",72,44,11,2019
"PR19M0010",4,112,11,2019
"PR19F0019",74,23,11,2019
"PR19F0025",2,103,11,2019
"PR19F0008",17,99,11,2019
"PR19F0028",52,65,11,2019
"PR19F0021",2,101,11,2019
"PR19F0022",22,103,11,2019
"PR19F0026",23,103,11,2019
"PR19M0008",43,83,11,2019
"PR19F0023",3,123,11,2019
"PR19M0005",106,21,11,2019
"PR19F0013",18,89,11,2019
"PR19M0004",44,81,11,2019
"PR19F0020",10,118,11,2019
"PR19M0006",8,13,11,2019
"PR19F0014",30,1,11,2019
"PR19M0007",25,103,11,2019
"PR19F0016",39,90,11,2019
"PR19F0018",81,48,11,2019
"PR19F0032",6,125,11,2019
"PR18F0003",0,21,11,2019
"PR18M0013",0,88,11,2019
"PR18F0010",0,88,11,2019
"PR18M0015",7,37,11,2019
"PR18F0019",61,27,11,2019
"PR18F0012",1,109,11,2019
"PR17U0001",25,319,11,2019
"PR18F0034",0,110,11,2019
"PR17F0006",0,313,11,2019
"PR18M0010",107,240,11,2019
"PR17F0005",28,241,11,2019
"PR17M0030",113,234,11,2019
"PR17F0003",84,264,11,2019
"PR17F0002",206,140,11,2019
"PR17F0012",173,175,11,2019
